FieldID,Region,Sampling Time,Year,Sand,Clay,Drainage,SoilType,pH,tile,OM,TOC,Date_Of_TOC,TN,CtoN,Rtn,rtnNumber,PrevCrop,Ncredit_lb/ac,Ncredit_kg/ha,CvrPriorYr,cvrsSpeciesLgTm,cvrs5yrs,SpringfallTillPasses,tillType,mnr5yrs,mnrSource,mnrSolid,mnrN_lb/ac,mnrN_kg/ha,mnrTiming,fertN_lb/ac,fertN_kg/ha,totalN_lb/ac,totalN_kg/ha
AP1601,1,1,2016,30,14,5,5,7.63,1,2.83,2.166,10/12/17,0.192,11.28125,CC,1,0,0,0,0,none,0,3,3,5,dairy,L,244,273,2,63,70,307,344
AP1602,1,1,2016,58,8,5,3,6.83,0,2.83,1.932,10/12/17,0.171,11.29824561,CGbW,3,4,0,0,1,tillage radish,1,2,3,1,dairy,L,102,114,2,137,154,239,268
AP1603,1,1,2016,43.8,16,5,3,7.57,0,2.97,2.542,10/12/17,0.167,15.22155689,CGbW,3,4,0,0,0,tillage radish,1,2,3,2,dairy,L,0,0,0,137,154,137,154
AP1604,1,1,2016,29.1,17.5,5,5,7.67,0,2.3,3.021,10/2/18,0.176,17.16477273,CC,1,1,0,0,0,none,0,2,.,3,dairy,L,144,161,4,72,81,216,242
AP1605,1,1,2016,30,14,5,5,7.5,0,2.43,1.738,10/2/18,0.104,16.71153846,CC,1,1,0,0,0,none,0,2,.,3,dairy,L,0,0,0,141,158,141,158
AP1606,1,1,2016,29.1,17.5,5,5,7.13,0,2.43,1.733,10/12/17,0.142,12.20422535,WCWCCW,3,0,0,0,0,"rye in 2014, and tillage radish with crimson clover and austrian winter peas in 2012",2,0,1,0,none,none,0,0,0,141,158,141,158
AP1607,1,1,2016,26.4,20.5,4,3,7.7,0,3.67,2.542,10/12/17,0.165,15.40606061,CC,1,0,0,0,0,none,0,3,3,5,dairy,L,119,134,2,17,19,136,153
AP1608,1,1,2016,45,15,3,5,7.2,0,4.53,2.069,10/12/17,0.186,11.12365591,CCCAAAAA,4,3,90,101,0,none,0,3,3,2,dairy,L,70,78,2,0,0,171,179
AP1701,1,1,2017,58,8,5,3,7.4,0,4,2.684,2/28/19,0.25,10.736,CCCAAAA,4,0,0,0,1,Rye,1,1,3,5,dairy,L,105,118,2,0,0,105,118
AP1702,1,1,2017,20,31,5,5,7.07,0,2.53,2.123,10/12/17,0.17,12.48823529,CCCAAAWW,4,3,90,101,0,none,0,4,3,0,none,none,0,0,0,95,107,196,208
